Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2014-07-25,600.00001,623.22268,593.8005,596.08217,8.67118094,5275.25509167,608.366395324
2014-07-26,596.21431,607.95528,593.801,600.0,5.06278238,3023.57924333,597.216908883
2014-07-27,600.0,600.0,600.0,600.0,0.1545,92.7,600.0
2014-07-28,593.80101,599.99999,574.57864,591.90124,4.09273484,2408.14713701,588.395591494
2014-07-29,586.5,597.66468,575.0711,583.20902,2.67828707,1569.84495618,586.137674996
2014-07-30,577.44182,588.98043,566.75121,566.75121,11.66910091,6730.61187888,576.789242872
2014-07-31,573.13807,591.9492,567.62816,590.1668,33.04695941,18998.1843895,574.884489485
2014-08-01,590.09699,602.36146,584.77374,596.4,3.04581682,1807.69894002,593.502185734
2014-08-02,596.4,601.18073,590.4867,590.4867,2.57203495,1525.89054448,593.261978993
2014-08-03,594.80131,594.80136,578.85629,578.85629,1.78503459,1058.22089081,592.829347252
2014-08-04,579.32951,596.2458,579.32951,596.24532,4.11032835,2427.62735827,590.616406173
2014-08-05,584.57433,598.03405,579.00019,579.00019,9.0423468,5380.36942793,595.019141262
2014-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-07,584.26767,593.00001,577.23864,580.58354,16.81014655,9858.05474641,586.434789077
2014-08-08,589.74092,590.0,583.91906,590.0,0.42726298,251.928239797,589.632735785
2014-08-09,583.93908,590.0,578.13503,590.0,7.80408715,4552.33570497,583.327123015
2014-08-10,590.0,595.35548,583.24163,583.24163,1.65871468,976.29905443,588.587697572
2014-08-11,589.61366,595.36446,572.76593,572.76593,0.47791402,280.238105779,586.377662197
2014-08-12,572.76593,579.99771,566.99001,579.99771,3.81911972,2179.80290581,570.760558878
2014-08-13,571.70103,571.70103,531.63618,535.08056,4.34921159,2443.4136683,561.806115369
2014-08-14,535.00001,553.8341,501.0,523.75872,31.82821682,16362.6963756,514.094033863
2014-08-15,525.0,530.0,501.0,529.99999,23.95719955,12475.5853214,520.744726251
2014-08-16,501.1,529.85,500.0,503.52,11.01070929,5544.16258917,503.524563509
2014-08-17,514.0,539.99462,500.0,500.0,2.65133722,1349.44433615,508.967447055
2014-08-18,500.00001,505.0,455.0,455.0,28.54967639,13719.147854,480.536019625
2014-08-19,479.99799,500.5,460.3,474.02001,77.75579152,37096.8776795,477.094721233
2014-08-20,495.0,530.0,477.0,530.0,13.53052555,6759.9283122,499.605746076
2014-08-21,530.0,530.0,500.00642,505.0,4.62139148,2349.0458662,508.298393756
2014-08-22,529.96506,529.96506,482.21557,529.95385,9.62058564,5098.3854702,529.945437937
2014-08-23,529.95437,529.95437,482.27458,524.99999,0.563896,291.292490331,516.571300969
2014-08-24,524.87999,524.87999,524.87999,524.87999,0.7,367.415993,524.87999
